GENE,COMMON,gal1RGexp,gal4RGexp,gal80Rexp,gal1RGsig,gal4RGsig,gal80Rsig
YPL194W,DDC1,0.222,-0.145,0.071,1.15E-02,4.62E-01,7.12E-01
YPL267W,YPL267W,0.334,-0.311,0.394,3.23E-04,1.31E-01,2.13E-01
YLL054C,YLL054C,-0.264,0.092,-0.158,2.26E-05,7.63E-02,1.63E-01
YKL075C,YKL075C,0.164,-0.292,0.48,2.83E-03,1.38E-03,6.21E-04
YHR018C,ARG4,-0.689,-0.794,0.316,4.70E-11,6.66E-06,2.82E-04
YKL148C,SDH1,0.395,0.479,-0.192,5.03E-06,5.70E-07,1.75E-02
YOR023C,AHC1,0.125,0.243,0.151,3.82E-03,3.69E-04,4.56E-02
YDR458C,YDR458C,0.347,-0.385,0.196,4.09E-05,5.01E-01,2.00E-01
YLR442C,SIR3,0.118,-0.118,0.728,9.07E-02,5.46E-01,8.57E-03
YBR202W,CDC47,0.054,-0.287,-0.036,2.74E-01,4.47E-03,9.06E-01
YGL007W,YGL007W,-0.157,-0.042,-0.386,5.37E-02,7.01E-01,6.20E-02
YNL012W,SPO1,0.002,0.183,0.247,9.79E-01,5.13E-03,2.14E-02
YEL049W,PAU2,-0.139,0.092,-0.135,9.08E-03,2.09E-01,3.24E-01
YML106W,URA5,0.269,0,0,4.11E-01,1.00E+00,1.00E+00
YPR002W,PDH1,1.569,-0.158,1.347,1.35E-12,3.97E-01,8.38E-08
YBR130C,SHE3,0.069,-0.265,0.243,1.10E-01,4.57E-04,3.02E-02
YJL096W,MRPL49,0.042,-0.028,-0.074,3.53E-01,6.44E-01,5.56E-01
YGR039W,YGR039W,-0.237,-0.49,0.358,4.02E-02,1.08E-01,3.89E-01
YDR385W,EFT2,-0.193,-0.146,-0.553,1.78E-04,1.93E-02,4.93E-11
YJL169W,YJL169W,-0.127,-0.693,0,2.91E-01,8.87E-03,5.98E-01
YGL008C,PMA1,-0.352,-0.282,-0.573,1.00E-05,7.14E-04,1.26E-06
YNR044W,AGA1,-0.174,0.057,-0.423,3.11E-03,2.74E-01,1.15E-07
YFL029C,CAK1,0.04,0.011,0.05,3.19E-01,8.34E-01,6.17E-01
YMR065W,KAR5,-0.051,-0.32,0.154,4.54E-01,4.35E-02,4.26E-01
YNL013C,YNL013C,-0.28,-0.168,0.561,2.18E-05,1.69E-02,5.78E-04
YMR138W,CIN4,0.414,0,0.221,3.73E-02,3.99E-01,1.28E-01
YPL195W,APL5,0.038,0.128,-0.049,5.43E-01,9.99E-02,7.19E-01
YLR086W,SMC4,0.313,0.118,0.088,2.39E-04,6.28E-01,7.94E-01
YPL268W,PLC1,0.13,0.57,0.863,4.86E-02,1.84E-03,4.76E-03
YGR250C,YGR250C,-0.058,-0.109,0,6.63E-01,6.22E-01,1.00E+00
YML107C,YML107C,0.1,-0.127,0.446,9.02E-02,1.54E-01,1.50E-03
YLR159W,YLR159W,0.268,0.165,0,2.56E-01,4.99E-01,1.00E+00
YKL076C,YKL076C,0.079,-0.118,0.373,3.02E-01,2.39E-01,3.01E-02
YHR019C,DED81,-0.309,-0.197,-0.272,4.00E-07,3.17E-03,4.55E-05
YKL149C,DBR1,0.335,-0.054,0.25,1.61E-05,6.27E-01,4.24E-02
YPR003C,YPR003C,-0.229,0.141,-0.209,2.48E-03,2.17E-01,2.05E-01
YLR370C,ARC18,-0.188,-0.018,-0.043,5.44E-04,7.37E-01,5.43E-01
YDR459C,YDR459C,-0.127,0.074,-0.14,8.49E-03,2.81E-01,2.20E-01
YLR087C,YLR087C,0.075,-0.287,0.275,2.84E-01,1.88E-02,5.90E-02
YBR203W,YBR203W,-0.086,0.216,-0.038,5.71E-02,7.11E-05,5.84E-01
YML034W,SRC1,0.139,0.032,0.187,1.93E-03,5.80E-01,7.49E-02
YLL055W,YLL055W,0.026,0.28,-0.201,5.34E-01,4.52E-06,7.96E-02
YBR204C,YBR204C,-0.079,0.063,-0.086,5.43E-02,2.24E-01,2.96E-01
YJL097W,YJL097W,-0.039,0.015,-0.354,3.10E-01,7.24E-01,4.32E-06
YDR386W,MUS81,0.165,0,0.739,1.44E-01,5.92E-02,4.90E-03
YOR024W,YOR024W,0.178,-0.129,-0.076,4.44E-01,4.97E-01,8.39E-01
YGL009C,LEU1,0.188,-0.073,-0.512,5.54E-05,1.81E-01,2.04E-10
YNR045W,PET494,0.119,0.226,-0.056,5.37E-03,4.32E-04,4.67E-01
YLR443W,ECM7,-0.187,-0.163,0.253,3.08E-04,4.50E-02,8.32E-02
YMR066W,SOV1,0.04,-0.423,0.185,6.19E-01,1.92E-02,4.18E-01
YMR139W,RIM11,-0.038,0.223,-0.056,3.04E-01,2.97E-04,4.51E-01
YPL196W,YPL196W,-0.069,0.35,-0.108,1.29E-01,3.13E-05,1.80E-01
YML035C,AMD1,0.024,0.094,-0.043,5.70E-01,5.70E-02,6.50E-01
YPL269W,KAR9,0.06,0.159,-0.124,4.18E-01,1.22E-01,4.26E-01
YLL056C,YLL056C,-0.2,0.227,-0.039,1.00E-02,1.98E-02,7.95E-01
YPR004C,YPR004C,-0.153,0.067,-0.29,2.81E-04,1.32E-01,1.07E-06
YDR387C,YDR387C,-0.309,0.204,-0.203,7.31E-07,1.42E-02,8.57E-03
YLR444C,YLR444C,0,0,0,1.00E+00,1.00E+00,1.00E+00
YMR067C,YMR067C,0.111,-0.14,0.168,1.49E-02,5.98E-02,1.53E-01
YBR131W,CCZ1,0.263,-0.521,0.288,8.96E-02,6.55E-02,4.75E-01
YBL100C,YBL100C,0.28,0.22,-0.471,4.43E-04,1.25E-04,8.27E-11
YNL014W,YEF3B,-0.325,-0.157,0.399,7.85E-08,2.26E-02,3.01E-04
YGR251W,YGR251W,0.188,-0.542,0.729,2.82E-02,4.90E-02,3.88E-04
YML108W,YML108W,0.27,-0.367,0,2.38E-01,2.55E-01,8.03E-01
YKL077W,YKL077W,-0.011,-0.096,-0.032,7.90E-01,3.54E-02,6.04E-01
YBR132C,AGP2,0.315,0.617,-0.201,2.71E-06,4.22E-07,3.60E-02
YJL098W,SAP185,0.331,-0.025,0.756,1.08E-05,5.35E-01,9.01E-03
YOR025W,HST3,-0.108,-0.039,0.073,1.47E-02,5.15E-01,5.30E-01
YLR371W,ROM2,0.011,-0.194,0.326,9.18E-01,1.84E-01,2.41E-01
YNR046W,YNR046W,-0.057,-0.281,0.444,2.71E-01,4.49E-04,5.11E-04
YLR088W,GAA1,-0.099,-0.041,-0.271,2.79E-02,4.30E-01,2.11E-03
YLL057C,YLL057C,-0.071,-0.013,0.127,4.95E-01,9.29E-01,4.99E-01
YPR005C,HAL1,-0.095,0.118,0.185,7.86E-02,8.51E-02,1.18E-01
YGL220W,YGL220W,-0.226,-0.021,-0.143,1.12E-05,7.02E-01,1.05E-01
YBR205W,KTR3,-0.044,0.029,-0.209,2.96E-01,5.18E-01,4.10E-03
YLR089C,YLR089C,-0.073,0.095,0.049,7.62E-02,3.69E-02,4.02E-01
YBL101C,ECM21,-0.245,0.161,0.377,1.48E-02,6.01E-04,3.01E-03
YNL015W,PBI2,0.242,0.343,0.123,9.02E-06,8.55E-05,1.02E-01
YGR252W,GCN5,0.203,0.097,-0.227,6.08E-05,8.68E-02,2.03E-02
YML036W,YML036W,-0.095,-0.345,-0.186,4.86E-02,1.46E-04,1.60E-01
YML109W,ZDS2,0.735,0,0,1.46E-04,5.45E-01,2.89E-01
YGL221C,NIF3,-0.014,0.014,-0.174,7.48E-01,7.99E-01,1.99E-02
YKL078W,JA2,0.18,-0.773,0.187,9.88E-03,2.21E-04,5.66E-01
YBR060C,ORC2,0.16,-0.346,0.02,1.09E-02,1.07E-02,9.13E-01
YBR133C,HSL7,-0.05,0.051,-0.213,2.10E-01,3.06E-01,4.02E-02
YJL099W,CHS6,-0.01,-0.039,0.18,8.05E-01,4.85E-01,5.13E-02
YOR026W,BUB3,0.12,-0.215,-0.132,2.84E-02,2.69E-02,3.44E-01
YDR388W,RVS167,-0.086,-0.092,-0.081,2.42E-02,4.42E-02,2.08E-01
YLR372W,SUR4,-0.241,-0.469,-0.358,2.59E-05,2.96E-05,5.18E-04
YLR445W,YLR445W,-0.377,0,0,2.20E-01,3.84E-01,1.00E+00
YNR047W,YNR047W,0.012,0.145,0.091,8.22E-01,3.57E-02,4.07E-01
YMR068W,YMR068W,-0.21,0.064,-0.018,1.68E-03,5.46E-01,9.01E-01
YPL198W,RPL7B,-0.286,-0.309,-0.476,4.43E-07,5.11E-04,1.64E-10
YGR180C,RNR4,-0.18,0.353,-0.285,3.19E-05,1.91E-04,4.99E-07
YML037C,YML037C,-0.052,-0.354,0.339,6.01E-01,8.02E-02,1.29E-01
YGR253C,PUP2,0.129,-0.114,0.113,6.59E-03,5.79E-02,2.05E-01
YOR310C,NOP5,-0.073,-0.499,-0.157,5.55E-02,1.73E-06,4.19E-02
YPR006C,ICL2,0.697,-0.086,0.733,4.96E-10,3.11E-01,1.09E-06
YLR373C,YLR373C,-0.076,-0.083,-0.167,6.06E-02,1.30E-01,5.29E-02
YPL199C,YPL199C,0.071,-0.19,-0.143,9.14E-02,3.60E-03,1.32E-01
YBR206W,YBR206W,-0.125,0,-0.284,5.96E-03,1.00E+00,3.32E-02
YNL016W,PUB1,0.014,-0.072,0.028,7.26E-01,1.25E-01,6.78E-01
YLL058W,YLL058W,-0.081,-0.218,0.167,4.46E-02,2.30E-03,1.05E-01
YGL222C,YGL222C,0,0.097,0.069,1.00E+00,1.39E-01,4.66E-01
YKL079W,SMY1,0.145,-0.176,0.214,9.47E-03,9.31E-03,8.25E-02
YBR061C,YBR061C,-0.021,-0.384,0.346,6.12E-01,2.59E-05,7.43E-03
YOR027W,STI1,0.321,-0.11,-0.061,7.06E-07,6.46E-02,3.14E-01
YDR389W,SAC7,0.11,0.202,0.383,4.45E-02,1.58E-02,2.67E-03
YNR048W,YNR048W,0.155,-0.175,0.356,3.49E-03,4.55E-02,1.09E-02
YLR446W,YLR446W,-0.298,-0.095,0.113,9.40E-05,6.07E-01,6.05E-01
YHR160C,PEX18,-0.078,0.113,0.284,3.77E-01,3.71E-01,6.13E-02
YNL017C,YNL017C,-0.001,-0.14,0,1.00E+00,5.49E-01,5.91E-01
YMR069W,YMR069W,-0.089,-0.369,-0.434,6.87E-01,3.66E-01,1.75E-01
YER119C-A,YER119C-A,-0.079,0.112,-0.479,8.18E-02,8.22E-02,1.24E-04
YML038C,YMD8,-0.017,-0.098,0.263,6.75E-01,8.15E-02,1.51E-02
YBL102W,SFT2,-0.046,0.191,-0.017,2.45E-01,9.71E-05,7.95E-01
YOR311C,YOR311C,-0.22,-0.173,-0.015,5.83E-05,3.91E-03,8.44E-01
YLL059C,YLL059C,0.058,-0.234,0.539,7.62E-01,5.59E-01,8.29E-03
YMR280C,CAT8,0.277,1.163,0,8.00E-02,1.14E-03,7.74E-01
YPR007C,SPO69,0.2,0,0,6.34E-01,7.74E-01,5.86E-01
YOR028C,CIN5,-0.424,-0.422,0.281,1.05E-07,6.64E-04,8.48E-04
YLR374C,YLR374C,-0.245,-0.041,-0.122,1.66E-02,5.99E-01,4.27E-01
YLR447C,VMA6,-0.334,-0.079,-0.284,2.43E-08,1.44E-01,1.21E-06
YCR040W,MATALPHA1,-0.521,-0.35,-0.293,9.46E-06,2.30E-01,4.00E-01
YNR049C,MSO1,0.022,-0.089,0.197,6.23E-01,2.12E-01,9.96E-02
YBR134W,YBR134W,-0.085,-0.021,0.008,5.09E-02,6.62E-01,9.13E-01
YBL030C,PET9,0.199,0.074,-0.39,8.69E-05,1.62E-01,4.48E-08
YBR207W,FTH1,0.197,0.271,0.137,5.30E-05,9.35E-06,1.01E-01
YNL300W,YNL300W,0.008,-0.271,-0.387,8.89E-01,3.09E-04,2.46E-05
YBL103C,RTG3,0.09,-0.249,0.439,4.27E-02,1.12E-03,2.67E-04
YGR181W,TIM13,-0.122,-0.008,-0.1,7.22E-03,8.89E-01,3.91E-01
YGR254W,ENO1,-0.737,0.259,-0.171,6.56E-11,8.00E-03,2.51E-02
YDR020C,YDR020C,-0.185,-0.467,0.316,2.11E-03,1.21E-05,2.65E-02
YGL150C,INO80,-0.024,-0.05,-0.198,5.13E-01,3.15E-01,1.17E-03
YGL223C,YGL223C,-0.016,0.065,-0.308,7.10E-01,1.58E-01,4.83E-04
YBR062C,YBR062C,0.072,0.046,0.029,1.90E-01,4.84E-01,8.24E-01
YNL301C,RPL18B,-0.379,-0.245,-0.271,7.31E-07,1.07E-04,1.23E-05
YBR208C,"DUR1,2",-0.056,0.135,-0.363,2.28E-01,1.46E-01,8.49E-03
YHR161C,YAP1801,0.093,0.069,0.191,3.23E-02,2.33E-01,1.35E-01
YNL018C,YNL018C,0.302,0.115,-0.1,4.00E-02,4.00E-01,5.96E-01
YGR182C,YGR182C,-0.124,0.203,-0.214,3.81E-03,1.93E-04,4.01E-03
YGR255C,COQ6,-0.14,-0.018,-0.012,8.78E-04,6.99E-01,8.74E-01
YOR312C,RPL20B,-0.371,-0.444,-0.118,3.01E-06,5.87E-07,2.37E-02
YAL051W,YAF1,-0.129,0.095,0.126,7.05E-02,6.35E-02,1.68E-01
YCR041W,YCR041W,-0.276,-0.005,-0.097,2.05E-04,9.54E-01,5.71E-01
YCL010C,YCL010C,0.162,-0.256,0.449,4.90E-02,1.11E-01,6.18E-02
YBR135W,CKS1,0.108,-0.018,0.057,8.43E-03,6.56E-01,3.41E-01
YBL104C,YBL104C,0.207,-0.315,0.509,8.01E-04,1.69E-03,1.49E-03
YGL224C,YGL224C,-0.168,-0.271,0.111,3.75E-03,6.22E-02,3.68E-01
YCR042C,TSM1,-0.096,0.055,-0.142,1.76E-02,2.26E-01,1.17E-01
YBR063C,YBR063C,0.012,-0.134,0.108,8.25E-01,7.32E-02,3.54E-01
YPR008W,YPR008W,0.215,-0.12,0.261,6.18E-05,6.87E-02,5.87E-03
YMR281W,GPI12,-0.166,0.023,-0.462,1.15E-03,7.71E-01,1.96E-03
YOR029W,YOR029W,-0.068,-0.2,0,7.67E-01,6.22E-01,5.04E-01
YLR375W,STP3,-0.1,0.053,-0.289,2.25E-02,3.14E-01,1.52E-05
YLR448W,RPL6B,-0.37,-0.543,0.115,5.31E-07,3.23E-06,1.19E-01
YNL019C,YNL019C,-0.131,0.166,-0.058,6.06E-03,1.79E-03,5.25E-01
YGR183C,QCR9,-0.075,0.115,-0.113,5.18E-02,8.17E-03,5.62E-02
YBL031W,SHE1,0.209,-0.322,0.359,4.03E-02,2.99E-02,8.97E-02
YOR313C,SPS4,0.208,0.241,0.167,4.97E-01,3.71E-01,1.61E-01
YMR282C,AEP2,0.053,-0.101,-0.003,2.33E-01,1.16E-01,9.79E-01
YDR021W,FAL1,-0.141,-0.307,-0.002,3.02E-03,1.61E-01,1.00E+00
YLR376C,YLR376C,-0.192,0.159,-0.256,6.06E-04,9.29E-03,3.88E-02
YGL151W,NUT1,-0.112,0.033,0.06,1.10E-02,5.23E-01,4.84E-01
YCL011C,GBP2,-0.04,-0.165,0.199,2.78E-01,4.60E-03,2.46E-02
YBR136W,ESR1,-0.018,0,0,7.67E-01,9.54E-01,1.00E+00
YBR209W,YBR209W,-0.081,0.291,0.181,7.53E-01,3.87E-01,5.18E-01
YJR120W,YJR120W,-0.12,0.233,-0.467,5.92E-03,1.36E-05,1.55E-11
YBL105C,PKC1,0.126,0,0,6.71E-03,1.00E+00,1.00E+00
YHR162W,YHR162W,-0.316,-0.057,-0.508,3.92E-08,1.92E-01,6.51E-12
YGR256W,GND2,-0.089,0.58,0.055,9.61E-02,2.24E-07,4.08E-01
YDR022C,CIS1,-0.02,-0.043,0.154,8.04E-01,6.77E-01,1.87E-01
YOR240W,YOR240W,-0.067,-0.229,0.105,7.78E-02,3.17E-02,1.37E-01
YGL152C,YGL152C,-0.103,-0.193,0.274,4.34E-01,2.82E-02,6.69E-02
YCR043C,YCR043C,-0.211,-0.362,-0.332,6.74E-04,5.86E-03,8.17E-02
YKR100C,YKR100C,-0.019,-0.11,0.156,7.70E-01,3.52E-01,2.67E-01
YPR009W,YPR009W,0.141,-0.57,0.431,4.79E-03,4.86E-05,4.63E-02
YNL230C,ELA1,-0.1,-0.126,0.227,4.94E-02,1.07E-01,6.13E-02
YHR090C,NBN1,0.41,-0.196,0.583,1.32E-07,6.91E-02,4.71E-04
YLR449W,FPR4,-0.04,-0.571,0.404,3.67E-01,6.36E-06,7.59E-04
YGR184C,UBR1,0.002,-0.025,0,9.59E-01,5.77E-01,1.00E+00
YGR257C,YGR257C,-0.129,-0.131,0.16,4.93E-03,4.29E-02,1.30E-01
YBL032W,YBL032W,-0.057,0.023,-0.245,1.55E-01,6.73E-01,6.75E-04
YAL053W,YAL053W,-0.217,-0.185,0.4,7.58E-05,6.77E-03,8.99E-04
YIL110W,YIL110W,-0.051,-0.53,0.37,2.77E-01,6.95E-06,1.21E-02
YMR283C,RIT1,-0.102,-0.123,-0.043,8.58E-02,4.36E-01,8.38E-01
YER001W,MNN1,-0.227,-0.935,0.271,8.50E-05,6.70E-09,4.25E-03
YLR377C,FBP1,0.873,1.067,0.371,2.19E-10,5.89E-11,3.79E-03
YGL225W,GOG5,-0.203,-0.369,-0.169,5.00E-05,1.52E-05,8.42E-03
YBR064W,YBR064W,-0.046,-0.372,0.275,7.00E-01,1.37E-01,2.11E-01
YBR137W,YBR137W,0.064,0.13,-0.041,2.18E-01,9.50E-03,5.21E-01
YBL033C,RIB1,0.212,0.007,0.288,5.57E-05,8.86E-01,6.82E-02
YNL303W,YNL303W,-0.439,-0.567,0,1.96E-05,5.75E-03,1.00E+00
YJR121W,ATP2,0.008,0.28,-0.424,8.51E-01,2.22E-06,1.98E-09
YBL106C,SRO77,0.226,-0.004,0.026,7.57E-04,9.79E-01,8.80E-01
YAL054C,ACS1,1.398,0.779,1.146,1.81E-11,2.49E-09,6.67E-09
YHR163W,SOL3,-0.038,-0.259,-0.472,3.22E-01,5.23E-04,3.45E-02
YOR241W,YOR241W,-0.109,-0.279,0.139,1.84E-02,3.84E-03,1.42E-01
YCR044C,YCR044C,-0.236,-0.04,-0.369,1.15E-05,3.77E-01,4.54E-04
YOR314W,YOR314W,0.005,-0.362,-0.124,9.79E-01,3.27E-01,5.34E-01
YBR065C,ECM2,-0.027,-0.412,0.353,6.84E-01,9.02E-04,1.68E-02
YBR138C,HDR1,0.08,-0.054,0.331,1.64E-01,6.16E-01,1.40E-02
YNL231C,PDR16,0.071,-0.445,0.471,1.13E-01,2.19E-06,2.91E-06
YHR091C,MSR1,0.098,-0.338,0.42,5.53E-02,3.00E-03,7.58E-03
YHR164C,DNA2,0.139,-0.04,-0.297,7.91E-03,7.61E-01,5.27E-03
YCL012W,YCL012W,0.011,-0.196,0.123,8.91E-01,3.35E-01,6.46E-01
YGR185C,TYS1,-0.141,-0.492,0.013,9.43E-04,3.71E-07,8.35E-01
YGR258C,RAD2,0.148,-0.12,0.514,4.77E-03,2.61E-01,1.07E-03
YOR242C,SSP2,0.16,-0.123,-0.45,1.97E-01,5.30E-01,1.54E-01
YIL111W,COX5B,-0.449,-0.029,-0.576,8.95E-09,6.16E-01,3.46E-12
YER002W,YER002W,0.349,-0.517,0.871,3.52E-07,5.36E-05,1.69E-05
YGL080W,YGL080W,0.199,0.061,0.267,8.79E-05,2.81E-01,1.53E-02
YDR023W,SES1,-0.003,-0.256,-0.626,9.26E-01,5.37E-05,1.22E-11
YGL153W,PEX14,0.242,-0.132,0.627,1.30E-04,7.79E-02,2.32E-03
YLR378C,SEC61,-0.059,0.119,-0.246,1.27E-01,5.65E-03,1.77E-05
YGL226W,YGL226W,-0.016,-0.065,0.196,7.57E-01,5.24E-01,1.60E-01
YKR101W,SIR1,0.109,-0.219,0.139,2.17E-01,1.70E-01,4.67E-01
YBL034C,STU1,0.107,-0.396,0.17,4.14E-01,3.02E-01,1.15E-01
YNL304W,YPT11,0.05,-0.043,0.2,4.71E-01,7.00E-01,1.31E-01
YJR122W,CAF17,0.081,-0.017,0.162,9.48E-02,7.95E-01,1.88E-01
YBL107C,YBL107C,0.115,-0.234,0.344,1.10E-02,2.16E-03,1.84E-02
YER003C,PMI40,-0.118,-0.182,-0.521,2.37E-03,3.35E-03,1.44E-12
YGL154C,LYS5,-0.048,0.099,0.008,3.76E-01,3.05E-01,9.46E-01
YCR045C,YCR045C,-0.353,0.14,-0.059,1.38E-03,3.07E-03,5.04E-01
YOR315W,YOR315W,0.066,-0.462,-0.063,1.36E-01,4.72E-06,5.09E-01
YBR066C,NRG2,-0.08,-0.328,0.26,2.51E-01,2.36E-04,2.94E-02
YMR284W,YKU70,-0.188,-0.016,0.018,5.69E-04,8.12E-01,8.80E-01
YNL305C,YNL305C,-0.076,0.555,-0.053,6.35E-02,3.28E-07,4.23E-01
YHR092C,HXT4,0.335,0.975,-0.54,1.72E-07,9.35E-11,3.08E-08
YHR165C,PRP8,0.144,0.013,0.202,9.91E-03,8.52E-01,1.30E-01
YGR259C,YGR259C,0.042,0.005,-0.347,3.03E-01,9.04E-01,1.14E-05
YOR243C,YOR243C,-0.302,0.025,0.065,1.31E-07,5.56E-01,4.08E-01
YOR316C,COT1,0.154,0.318,0.405,1.17E-03,5.52E-03,9.86E-05
YAL055W,YAL055W,0.033,-0.053,0.224,7.92E-01,6.13E-01,8.70E-02
YIL112W,YIL112W,0.004,-0.061,0.133,9.38E-01,2.85E-01,1.39E-01
YMR285C,YMR285C,0.051,-0.43,0.121,3.01E-01,1.12E-03,3.74E-01
YDR024W,YDR024W,-0.236,-0.13,-0.108,1.25E-03,2.47E-01,5.38E-01
YGL081W,YGL081W,0.093,-0.368,0.48,9.04E-02,2.68E-03,9.55E-04
YGL227W,TIN1,0.05,0.082,0.186,2.02E-01,8.63E-02,3.04E-02
YKR102W,FLO10,0.192,-0.165,0,2.57E-02,4.61E-01,1.00E+00
YJR050W,ISY1,0.207,-0.059,0.444,2.45E-04,5.92E-01,5.16E-03
YNL232W,YNL232W,0.197,-0.37,0.482,5.26E-04,3.04E-04,1.23E-03
YBR139W,YBR139W,-0.157,0.328,-0.355,2.01E-04,2.30E-06,1.21E-07
YBL035C,POL12,0.197,-0.61,0.376,5.42E-02,3.45E-02,2.91E-01
YJR123W,RPS5,-0.289,-0.293,-0.222,2.34E-07,1.67E-05,3.40E-05
YGR186W,TFG1,0.24,-0.257,0.353,1.80E-05,8.75E-04,5.38E-03
YOR170W,YOR170W,-0.072,-0.126,0.472,6.17E-01,4.57E-01,6.28E-02
YCR046C,IMG1,-0.195,0.066,-0.384,7.81E-05,1.83E-01,3.29E-05
YJR124C,YJR124C,-0.176,-0.791,0.407,2.11E-03,2.30E-05,7.17E-02
YLR379W,YLR379W,0,0,0,9.59E-01,9.06E-01,1.00E+00
YHR166C,CDC23,0.192,-0.31,0.162,1.07E-02,3.30E-02,2.61E-01
YCL014W,BUD3,0.13,-0.121,-0.003,6.16E-03,9.81E-02,9.79E-01
YGR187C,HGH1,0.283,-0.867,0.596,2.72E-06,1.87E-05,3.14E-04
YOR171C,LCB4,0.022,0.014,0.222,5.98E-01,8.75E-01,3.87E-02
YBL108W,YBL108W,-0.175,-0.085,0.211,2.66E-01,5.68E-01,3.96E-01
YAL056W,YAL056W,0.065,0.083,0.06,2.24E-01,1.49E-01,5.61E-01
YIL040W,YIL040W,-0.064,-0.36,0.108,2.21E-01,9.36E-05,4.81E-01
YIL113W,YIL113W,-0.236,0.211,-0.137,2.11E-03,2.83E-03,2.37E-01
YER004W,YER004W,0.137,0.261,0.131,5.25E-03,1.09E-05,1.27E-01
YDR025W,RPS11A,-0.305,-0.39,-0.128,1.05E-04,4.98E-06,2.04E-02
YGL082W,YGL082W,-0.01,-0.046,-0.024,7.88E-01,2.97E-01,7.27E-01
YGL155W,CDC43,-0.113,-0.008,-0.055,1.68E-02,8.86E-01,5.56E-01
YGL228W,SHE10,0.11,-0.04,0.251,1.31E-02,4.62E-01,2.17E-02
YKR030W,YKR030W,-0.052,0.177,-0.026,3.07E-01,4.72E-03,8.05E-01
YKR103W,YKR103W,0.36,1.695,0,1.12E-01,9.28E-02,1.00E+00
YNL160W,YGP1,-1.598,0.288,-0.045,3.77E-13,8.36E-04,5.30E-01
YNL233W,BNI4,0.215,-0.238,-0.238,2.73E-04,2.38E-02,1.85E-01
YJR051W,OSM1,-0.124,-0.066,-0.058,6.42E-03,1.52E-01,4.08E-01
YNL306W,YNL306W,0.053,-0.034,0.172,1.84E-01,4.72E-01,6.70E-02
YBL036C,YBL036C,0.101,-0.327,0.387,3.75E-02,9.46E-05,1.49E-03
YJL020C,YJL020C,0.102,0.035,0.087,2.87E-02,3.96E-01,3.15E-01
YHR093W,AHT1,-0.144,-0.475,-0.229,5.50E-02,3.16E-02,4.42E-01
YIL114C,POR2,-0.033,-0.114,0.009,5.21E-01,1.01E-01,9.35E-01
YPR150W,YPR150W,0.06,0.216,0.49,6.04E-01,1.17E-01,1.38E-03
YDR026C,YDR026C,0.196,-0.437,0.668,5.50E-04,6.69E-03,1.79E-04
YOR244W,ESA1,0.302,0.121,0.355,4.60E-06,1.10E-01,1.90E-03
YLR010C,YLR010C,0.496,-0.366,0.295,5.33E-02,2.87E-01,4.06E-01
YCR047C,YCR047C,0.215,-0.451,0.673,4.19E-04,2.24E-05,3.88E-05
YGL229C,SAP4,-0.521,0.171,-0.208,2.37E-09,2.09E-02,2.87E-01
YOR317W,FAA1,-0.009,-0.112,0.023,8.18E-01,2.26E-02,7.72E-01
YKR031C,SPO14,0.07,0.003,-0.04,7.26E-02,9.50E-01,5.21E-01
YBR068C,BAP2,-0.007,0.315,-0.03,8.47E-01,1.62E-06,5.86E-01
YMR286W,MRPL33,0.018,-0.131,0.146,7.91E-01,6.82E-02,4.18E-01
YJR125C,ENT3,0.105,0.107,0.173,1.09E-02,3.34E-02,8.69E-02
YNL307C,MCK1,-0.046,0.094,-0.063,2.78E-01,2.95E-02,3.76E-01
YHR094C,HXT1,0.311,0.931,-0.47,1.68E-05,1.50E-10,2.73E-07
YPR151C,YPR151C,0.372,0.34,0.7,2.12E-06,6.35E-04,8.45E-05
YGR188C,BUB1,0.36,-0.464,0.257,2.58E-03,1.84E-01,4.65E-01
YOR245C,YOR245C,-0.044,0.114,0.07,2.70E-01,1.83E-01,3.37E-01
YOR318C,YOR318C,-0.168,0.118,-0.111,6.45E-02,1.74E-01,4.40E-01
YIL041W,YIL041W,-0.02,0.019,-0.108,5.85E-01,6.51E-01,6.43E-02
YMR287C,MSU1,0.252,0.146,0.366,2.99E-04,7.42E-02,1.72E-02
YER005W,YND1,0.014,-0.07,-0.281,7.87E-01,2.53E-01,2.06E-02
YGL083W,SCY1,-0.206,0.053,-0.212,2.56E-05,4.11E-01,8.37E-02
YGL156W,AMS1,0.138,0.51,0.032,3.28E-02,6.97E-06,6.80E-01
YOL140W,ARG8,-0.057,-0.178,-0.212,1.90E-01,7.70E-03,2.98E-02
YKR104W,YKR104W,-0.016,-0.259,0,9.46E-01,2.93E-01,8.55E-01
YCL016C,YCL016C,-0.006,-0.126,0.172,9.06E-01,1.16E-01,1.68E-01
YNL161W,CBK1,0.058,0.073,-0.315,1.97E-01,1.12E-01,1.96E-05
YNL234W,YNL234W,-0.024,0.016,-0.076,7.06E-01,8.66E-01,5.79E-01
YJR052W,RAD7,0.03,-0.156,0.375,5.57E-01,4.09E-02,4.99E-03
YJL021C,YJL021C,-0.046,0.007,0.035,2.73E-01,8.79E-01,6.19E-01
YDR310C,SUM1,0.071,0.027,0.365,2.61E-01,8.93E-01,5.43E-02
YIL042C,YIL042C,-0.035,0.246,-0.072,3.94E-01,2.44E-05,4.38E-01
YIL115C,NUP159,0.103,0.151,0.031,4.36E-02,2.71E-02,7.94E-01
