GENE,COMMON,gal1RGexp,gal4RGexp,gal80Rexp,gal1RGsig,gal4RGsig,gal80Rsig
YOR060C,YOR060C,-0.022,-0.126,0.246,6.36E-01,6.45E-02,5.30E-02
YDR495C,VPS3,-0.011,-0.216,0.251,9.79E-01,7.42E-01,3.72E-02
YLR269C,YLR269C,0.015,0.214,0.089,8.95E-01,1.20E-01,5.17E-01
YGL117W,YGL117W,-0.356,-0.74,0.262,3.27E-08,7.34E-06,5.07E-02
YCR008W,SAT4,0.151,0.005,0.135,1.63E-02,9.64E-01,3.83E-01
YJR013W,YJR013W,-0.048,0.064,-0.205,3.00E-01,2.37E-01,9.14E-02
YML070W,DAK1,-0.053,0.171,-0.373,3.31E-01,9.26E-04,5.85E-07
YHR128W,FUR1,-0.091,-0.398,-0.046,1.32E-01,3.48E-04,6.88E-01
YKL185W,ASH1,-0.076,0.215,-0.016,3.69E-02,8.24E-05,7.88E-01
YBR240C,THI2,0.009,-0.054,0.294,9.23E-01,6.61E-01,1.43E-01
YGR149W,YGR149W,-0.61,0.044,-0.364,1.42E-10,4.74E-01,3.71E-08
YOR133W,EFT1,-0.26,-0.053,-0.584,2.96E-04,2.86E-01,3.42E-10
YOR206W,YOR206W,0.145,-0.451,0.325,4.86E-03,1.20E-04,1.29E-02
YGL118C,YGL118C,0.069,-0.184,0.548,4.14E-01,2.30E-01,1.88E-02
YFL066C,YFL066C,0.042,-0.025,-0.357,3.09E-01,6.07E-01,7.83E-06
YOL102C,TPT1,-0.017,-0.181,0.151,7.10E-01,3.62E-02,1.68E-01
YCR009C,RVS161,-0.145,-0.148,0.151,9.60E-04,9.08E-03,1.59E-02
YNL050C,YNL050C,0.301,-0.448,0.594,1.43E-05,3.19E-03,7.51E-04
YMR175W,SIP18,0.018,-0.317,-0.334,6.42E-01,4.27E-03,1.80E-05
YLR196W,PWP1,0.13,-1.068,0.996,9.45E-03,1.25E-07,2.87E-05
YIR035C,YIR035C,-0.464,-0.383,0.005,1.39E-08,3.58E-06,9.42E-01
YHR056C,YHR056C,-0.112,-0.338,0.142,3.28E-01,4.05E-01,8.13E-01
YKL186C,MTR2,0.157,0.035,0.338,7.51E-03,5.56E-01,5.61E-03
YHR129C,ARP1,-0.27,-0.255,0.16,2.40E-03,3.02E-02,3.07E-01
YGR077C,PEX8,-0.064,0.309,-0.177,1.18E-01,4.87E-06,7.75E-02
YDR496C,YDR496C,0.208,-0.295,0.386,7.81E-05,2.80E-01,1.48E-02
YOR207C,RET1,-0.044,0.253,0.242,4.19E-01,3.91E-02,2.05E-01
YAL019W,YAL019W,0.07,0,0,9.12E-02,8.84E-01,1.00E+00
YIL003W,YIL003W,-0.071,-0.139,0.131,1.34E-01,4.94E-02,2.98E-01
YHL024W,NOS1,0.154,0.119,-0.136,4.45E-03,1.57E-01,2.79E-01
YGL045W,YGL045W,-0.279,0.097,-0.29,1.37E-06,5.38E-02,9.81E-03
YNL123W,YNL123W,-0.049,-0.206,-0.021,3.42E-01,7.83E-02,8.62E-01
YJR014W,YJR014W,0.07,-0.158,0.09,1.25E-01,3.77E-02,3.39E-01
YIL004C,BET1,-0.093,-0.542,-0.31,1.52E-01,2.42E-04,1.16E-01
YPR040W,YPR040W,0.21,0.07,0.461,7.04E-05,2.64E-01,1.12E-04
YBR241C,YBR241C,-0.056,0.529,-0.121,1.79E-01,4.64E-08,5.81E-02
YPR113W,PIS1,-0.495,0.025,-0.89,1.05E-09,5.46E-01,5.62E-18
YOR061W,CKA2,0.08,-0.124,0.158,5.06E-02,5.45E-02,4.94E-02
YOR134W,BAG7,-0.363,-0.017,0.493,2.86E-08,7.58E-01,1.31E-04
YML072C,YML072C,-0.034,0.298,0.404,4.66E-01,2.72E-05,2.98E-04
YLR197W,SIK1,0.02,-0.521,0.49,7.02E-01,1.08E-05,3.38E-08
YIR036C,YIR036C,0.047,0.286,-0.099,3.02E-01,1.34E-05,2.45E-01
YHR057C,CYP2,0.166,0.026,0.29,8.24E-04,6.54E-01,2.28E-02
YKL187C,YKL187C,0.999,1.222,0.206,7.46E-11,2.38E-10,6.23E-02
YGR078C,PAC10,-0.004,-0.564,0.442,9.29E-01,8.21E-05,1.73E-02
YOR062C,YOR062C,0.168,-0.041,0.391,9.70E-03,7.48E-01,1.13E-02
YOR135C,YOR135C,-0.092,-0.078,-0.816,2.06E-02,1.00E-01,5.39E-16
YDR497C,ITR1,-0.117,-0.068,-0.057,4.17E-03,1.58E-01,4.15E-01
YHL025W,SNF6,-0.001,-0.039,0.133,9.79E-01,4.13E-01,1.06E-01
YLR198C,YLR198C,0.104,-0.598,0.352,7.49E-02,5.41E-07,8.48E-02
YGL046W,YGL046W,-0.123,-0.057,-0.04,1.38E-01,6.32E-01,7.78E-01
YGL119W,ABC1,-0.072,-0.015,-0.03,1.17E-01,7.78E-01,7.50E-01
YOL030W,YOL030W,-0.07,0.093,-0.581,6.59E-02,5.74E-02,7.63E-13
YFL067W,YFL067W,0.053,-0.058,-0.293,1.80E-01,2.06E-01,2.53E-06
YOL103W,ITR2,-0.075,-0.175,-0.282,6.32E-02,1.27E-03,2.64E-06
YNL124W,YNL124W,0.161,-0.22,0.144,2.33E-03,1.55E-03,1.97E-01
YJR015W,YJR015W,-0.149,0.141,-0.345,9.45E-04,1.87E-03,5.30E-07
YDR200C,YDR200C,0.006,-0.236,0.15,8.86E-01,5.19E-03,7.77E-02
YPR041W,TIF5,-0.059,-0.243,-0.177,1.12E-01,6.20E-03,1.17E-02
YHL026C,YHL026C,-0.016,-0.305,0.278,7.99E-01,2.70E-02,9.57E-02
YPR114W,YPR114W,-0.137,-0.063,-0.232,1.22E-03,1.78E-01,1.48E-04
YOR208W,PTP2,-0.274,-0.131,0.21,2.10E-06,2.93E-02,5.66E-03
YOL031C,YOL031C,-0.414,-0.147,-0.424,2.17E-08,1.22E-02,1.30E-04
YOL104C,NDJ1,-0.258,-0.068,-0.554,5.84E-06,1.47E-01,3.13E-08
YNL125C,ESBP6,0.496,0.413,-0.299,5.63E-09,2.89E-07,1.31E-04
YMR177W,MMT1,-0.154,-0.548,-0.151,4.28E-02,1.48E-04,6.51E-01
YJR016C,ILV3,-0.083,0.069,-0.411,5.14E-02,1.09E-01,1.22E-07
YML073C,RPL6A,-0.408,-0.513,-0.563,1.89E-07,4.21E-07,9.70E-08
YHR058C,MED6,0.122,-0.282,0.315,1.48E-02,3.14E-03,3.11E-02
YKL188C,PXA2,0.245,0.182,0.46,1.52E-04,6.58E-02,2.84E-03
YDR498C,SEC20,0.075,0.087,-0.672,8.35E-02,2.73E-01,7.23E-09
YOR209C,NPT1,-0.16,-0.306,-0.027,1.79E-04,3.19E-04,6.83E-01
YIL005W,YIL005W,0.077,-0.235,0.014,5.05E-01,4.79E-01,2.67E-01
YBR242W,YBR242W,0.021,-0.339,0.377,6.59E-01,1.67E-04,8.28E-03
YLR199C,YLR199C,0.078,-0.048,-0.038,1.03E-01,6.07E-01,7.53E-01
YPL010W,RET3,-0.226,-0.075,-0.172,9.94E-06,1.31E-01,5.69E-03
YGL047W,YGL047W,-0.158,0.011,-0.062,1.89E-03,8.66E-01,5.58E-01
YFL068W,YFL068W,0.026,-0.053,-0.112,5.27E-01,2.46E-01,1.20E-01
YNL052W,COX5A,0.103,0.172,-0.222,1.90E-02,5.15E-04,7.50E-05
YIR037W,HYR1,-0.158,0.233,-0.164,2.46E-04,3.82E-04,2.86E-03
YBR170C,NPL4,0.128,-0.134,0.429,7.83E-03,1.35E-01,1.62E-03
YGR079W,YGR079W,0.153,-0.647,0.614,2.25E-02,2.31E-05,1.06E-03
YPR115W,YPR115W,-0.047,0.646,0.191,8.29E-01,1.40E-05,4.00E-01
YBR243C,ALG7,0,0.028,-0.566,1.00E+00,5.88E-01,1.78E-06
YPL011C,TAF47,0.072,-0.145,0.381,1.22E-01,4.43E-02,5.56E-04
YOR063W,RPL3,-0.406,-0.136,-0.368,4.97E-09,7.21E-03,5.16E-06
YGL048C,RPT6,0.153,0.118,0.091,1.72E-03,2.05E-02,1.99E-01
YOR136W,IDH2,-0.064,0.022,-0.728,8.00E-02,6.76E-01,4.20E-16
YOL105C,WSC3,-0.032,0.246,-0.583,4.20E-01,9.17E-06,3.63E-10
YMR178W,YMR178W,-0.077,-0.155,-0.011,1.49E-01,5.32E-02,9.42E-01
YML074C,NPI46,0.118,-0.38,0.389,2.50E-02,5.30E-05,3.32E-05
YJR017C,ESS1,-0.07,-0.057,-0.15,8.18E-02,2.51E-01,3.07E-02
YIR038C,GTT1,-0.181,0.32,-0.08,1.38E-04,1.24E-03,2.61E-01
YOR064C,YOR064C,0.243,-0.036,0.203,2.14E-05,5.73E-01,6.88E-02
YOR137C,YOR137C,-0.253,-0.072,-0.055,4.04E-06,2.23E-01,5.83E-01
YDR201W,SPC19,0.133,-0.12,0.112,9.05E-03,1.21E-01,3.65E-01
YIL006W,YIL006W,-0.077,0.173,-0.133,7.66E-02,2.94E-03,2.05E-01
YHL027W,RIM101,-0.001,-0.078,0.235,1.00E+00,1.12E-01,9.92E-03
YOL032W,YOL032W,0.1,0.306,-0.144,3.67E-02,8.28E-05,8.69E-02
YNL053W,MSG5,0.021,-0.117,0.061,6.47E-01,6.78E-02,5.30E-01
YNL126W,SPC98,0.207,0.068,-0.402,2.33E-03,4.42E-01,4.23E-03
YGR290W,YGR290W,-0.044,0.38,-0.091,5.17E-01,4.12E-06,4.52E-01
YDR202C,YDR202C,0.118,0.246,0.232,1.56E-02,8.43E-04,1.88E-02
YIL007C,YIL007C,0.057,0.175,-0.121,2.30E-01,1.28E-03,1.51E-01
YHR059W,YHR059W,0.043,-0.236,0.74,6.42E-01,2.08E-01,1.17E-02
YMR251W-A,HOR7,-0.054,0.038,-0.167,1.40E-01,3.79E-01,2.53E-03
YKL189W,HYM1,0.033,0.032,0.038,5.70E-01,6.35E-01,7.05E-01
YPR043W,RPL43A,-0.292,-0.268,-0.167,1.81E-06,2.57E-05,1.83E-03
YPR116W,YPR116W,-0.092,-0.314,0.215,1.35E-01,6.64E-02,2.58E-01
YDR499W,YDR499W,0.277,0.053,0.274,1.20E-03,7.85E-01,7.08E-02
YGL049C,TIF4632,0.075,-0.265,0.234,1.28E-01,3.53E-02,1.67E-01
YMR179W,SPT21,0.003,-0.306,0.616,9.54E-01,4.27E-02,2.97E-02
